YEAR,State,Constituency,Candidate,Party,Votes,Rank,Total_Votes_Const,Vote_Share_Percent,Is_Winner,Margin,Total_Assets,Criminal_Cases,Gender,Electors
2004,ANDHRA PRADESH,KHAMMAM,RENUKA CHOWDHURY,INC,518047.0,1.0,1023177.0,50.631220209211115,1,108888,0.0,1.0,FEMALE,
2004,ANDHRA PRADESH,KURNOOL,KOTLA JAYASURYA PRAKASHA REDDY,INC,433529.0,1.0,818809.0,52.946291503879415,1,101098,0.0,0.0,MALE,
2004,ANDHRA PRADESH,MACHILIPATNAM,BADIGA RAMAKRISHNA,INC,387127.0,1.0,755314.0,51.253783194803745,1,50341,0.0,0.0,MALE,
2004,ANDHRA PRADESH,MAHABUBNAGAR,D. VITTAL RAO,INC,428764.0,1.0,866550.0,49.4794299232589,1,47907,0.0,0.0,MALE,
2004,ANDHRA PRADESH,MEDAK,A. NARENDRA,TRS,453738.0,1.0,901015.0,50.358540090897485,1,123766,0.0,0.0,MALE,
2004,ANDHRA PRADESH,MIRYALGUDA,JAIPAL REDDY SUDINI,INC,572169.0,1.0,962599.0,59.44001603990863,1,216907,0.0,0.0,MALE,
2004,ANDHRA PRADESH,NAGARKURNOOL,DR.MANDA JAGANNATH,TDP,405046.0,1.0,883350.0,45.85339899247184,1,99650,0.0,0.0,MALE,
2004,ANDHRA PRADESH,NALGONDA,SURAVARAM SUDHAKAR REDDY,CPI,479511.0,1.0,1047866.0,45.7607174963211,1,56151,0.0,1.0,MALE,
2004,ANDHRA PRADESH,NANDYAL,S. P. Y. REDDY,INC,458526.0,1.0,829976.0,55.24569385138848,1,111679,0.0,0.0,MALE,
2004,ANDHRA PRADESH,NARASAPUR,CHEGONDI VENKATA HARIRAMA JOGAIAH,INC,402761.0,1.0,768537.0,52.406195147403444,1,64412,0.0,0.0,MALE,
2004,ANDHRA PRADESH,NARASARAOPET,MEKAPATI RAJAMOHAN REDDY,INC,481310.0,1.0,899784.0,53.49172690334569,1,86255,0.0,0.0,MALE,
2004,ANDHRA PRADESH,NELLORE,PANABAKA LAKSHMI,INC,450129.0,1.0,836502.0,53.810869549624506,1,128224,0.0,0.0,FEMALE,
2004,ANDHRA PRADESH,NIZAMABAD,MADHU GOUD YASKHI,INC,442142.0,1.0,782439.0,56.508175078185005,1,137871,0.0,0.0,MALE,
2004,ANDHRA PRADESH,ONGOLE,SREENIVASULU REDDY MAGUNTA,INC,446584.0,1.0,799109.0,55.885242188487425,1,106021,0.0,2.0,MALE,
2004,ANDHRA PRADESH,PARVATHIPURAM,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,INC,321788.0,1.0,660923.0,48.687668608899976,1,7418,0.0,0.0,MALE,
2004,ANDHRA PRADESH,PEDDAPALLI,G. VENKAT SWAMY,INC,572207.0,1.0,939450.0,60.9087231891,1,263135,0.0,0.0,MALE,
2004,ANDHRA PRADESH,RAJAHMUNDRY,ARUNA KUMAR VUNDAVALLI,INC,413927.0,1.0,816125.0,50.718578649103996,1,148820,0.0,2.0,MALE,
2004,ANDHRA PRADESH,RAJAMPET,ANNAYYAGARI SAI PRATHAP,INC,369797.0,1.0,691329.0,53.4907402987579,1,78085,0.0,0.0,MALE,
2004,ANDHRA PRADESH,SECUNDERABAD,M. ANJAN KUMAR YADAV,INC,485710.0,1.0,973288.0,49.90403662636342,1,68758,0.0,0.0,MALE,
2004,ANDHRA PRADESH,SIDDIPET,SARVEY SATHYANARAYANA,INC,593879.0,1.0,1119814.0,53.03371809961297,1,138972,0.0,0.0,MALE,
2004,ANDHRA PRADESH,SRIKAKULAM,YERRANNAIDU KINJARAPU,TDP,361906.0,1.0,723774.0,50.00262512883856,1,31879,0.0,0.0,MALE,
2004,ANDHRA PRADESH,TENALI,BALASHOWRY VALLABHANENI,INC,366843.0,1.0,673462.0,54.471224805556965,1,78556,0.0,0.0,MALE,
2004,ANDHRA PRADESH,TIRUPATI,CHINTA MOHAN,INC,510961.0,1.0,850787.0,60.05745268792306,1,199328,0.0,0.0,MALE,
2004,ANDHRA PRADESH,VIJAYAWADA,RAJAGOPAL LAGADAPATI,INC,519624.0,1.0,945550.0,54.954682459943946,1,114587,0.0,0.0,MALE,
