YEAR,State,Party_Standard,Seats
2024,TELANGANA,OTHERS,1
2024,TRIPURA,BJP,2
2024,UTTAR PRADESH,BJP,33
2024,UTTAR PRADESH,INC,6
2024,UTTAR PRADESH,OTHERS,4
2024,UTTAR PRADESH,SP,37
2024,UTTARAKHAND,BJP,5
2024,WEST BENGAL,AITC,29
2024,WEST BENGAL,BJP,12
2024,WEST BENGAL,INC,1
