YEAR,State,Constituency,Total_Voters,Total_Electors,Total_Turnout,Male_Electors,Male_Voters,Male_Turnout,Female_Electors,Female_Voters,Female_Turnout,Coverage_Note
2009,ANDHRA PRADESH,VISAKHAPATNAM,1012261.0,1387482.0,72.95669421296998,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,VIZIANAGARAM,1019825.0,1323238.0,77.07041363685143,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,WARANGAL,1030525.0,1486617.0,69.32014096435061,,,,,,,Official constituency aggregate where source data is available.
2009,ANDHRA PRADESH,ZAHIRABAD,1017290.0,1359566.0,74.82461314860772,,,,,,,Official constituency aggregate where source data is available.
2009,ARUNACHAL PRADESH,ARUNACHAL EAST,214932.0,301173.0,71.36496299469076,,,,,,,Official constituency aggregate where source data is available.
2009,ARUNACHAL PRADESH,ARUNACHAL WEST,285710.0,433368.0,65.92780269886102,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,AUTONOMOUS DISTS,480556.0,693407.0,69.30359803117072,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,BARPETA,901169.0,1239607.0,72.69795991794173,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,DHUBRI,1046983.0,1371949.0,76.31355101392253,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,DIBRUGARH,750274.0,1114965.0,67.2912602637751,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,GAUHATI,1108827.0,1723860.0,64.32233476036338,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,JORHAT,763455.0,1182349.0,64.5710361323095,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,KALIABOR,960563.0,1348371.0,71.23877627151577,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,KARIMGANJ,685420.0,1068811.0,64.12920525705668,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,KOKRAJHAR,1014784.0,1377837.0,73.650511635266,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,LAKHIMPUR,909621.0,1332518.0,68.2633180189686,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,MANGALDOI,988533.0,1416682.0,69.7780447552803,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,NOWGONG,999426.0,1411331.0,70.81442978294957,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,SILCHAR,688546.0,978510.0,70.36678214836843,,,,,,,Official constituency aggregate where source data is available.
2009,ASSAM,TEZPUR,843014.0,1210132.0,69.66297891469691,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,ARARIA,730456.0,1311225.0,55.70790672844096,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,ARRAH,556351.0,1555122.0,35.77539254154979,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,AURANGABAD,598309.0,1376323.0,43.471554279046416,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,BANKA,652208.0,1338025.0,48.74408176229891,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,BEGUSARAI,718265.0,1473263.0,48.753345465134196,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,BHAGALPUR,629078.0,1433346.0,43.888774936407536,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,BUXAR,623615.0,1340892.0,46.50747412916178,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,DARBHANGA,545713.0,1307067.0,41.750958443599295,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,GAYA,564183.0,1329192.0,42.44556091219327,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,GOPALGANJ,504612.0,1349072.0,37.40437871366391,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,HAJIPUR,555107.0,1327075.0,41.82936156584971,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,JAHANABAD,599200.0,1276912.0,46.92570827120428,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,JAMUI,535282.0,1404016.0,38.1250641018336,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,JHANJHARPUR,607834.0,1418977.0,42.836071338717964,,,,,,,Official constituency aggregate where source data is available.
2009,BIHAR,KARAKAT,577040.0,1386634.0,41.61444187867887,,,,,,,Official constituency aggregate where source data is available.
